subid,HighRewAssocHit,LowRewAssocHit,HighRewCatHit,LowRewCatHit,HighRewGistHit,LowRewGistHit,HighRewTrueGist,LowRewTrueGist,HighRewSimGist,LowRewSimGist,HighRewincatGist,LowRewincatGist,HighRewAssocCatError,LowRewAssocCatError,HighRewAssocSimError,LowRewAssocSimError,HighRewAssocincatError,LowRewAssocincatError,HighRewImagine,LowRewImagine,HighRewHitDay2,LowRewHitDay2,HighRewHitRetrievedDay2,LowRewHitRetrievedDay2,FalseAlarmsDay2,HighRewAssocHitDay2,LowRewAssocHitDay2,HighRewAssocRetrievedHitDay2,LowRewAssocRetrievedHitDay2,HighRewCatHitDay2,LowRewCatHitDay2,HighRewCatRetrievedHitDay2,LowRewCatRetrievedHitDay2,HighRewGistHitDay2,LowRewGistHitDay2,HighRewGistRetrievedHitDay2,LowRewGistRetrievedHitDay2,HighRewTrueGistDay2,LowRewTrueGistDay2,HighRewTrueGistRetrievedDay2,LowRewTrueGistRetrievedDay2,HighRewSimGistDay2,LowRewSimGistDay2,HighRewSimGistRetrievedDay2,LowRewSimGistRetrievedDay2,HighRewincatGistDay2,LowRewincatGistDay2,HighRewincatGistRetrievedDay2,LowRewincatGistRetrievedDay2,HighRewAssocDay2CatError,LowRewAssocDay2CatError,HighRewAssocRetrievedDay2CatError,LowRewAssocRetrievedDay2CatError,HighRewAssocDay2incatError,LowRewAssocDay2incatError,HighRewAssocRetrievedDay2incatError,LowRewAssocRetrievedDay2incatError,HighRewAssocDay2SimError,LowRewAssocDay2SimError,HighRewAssocRetrievedDay2SimError,LowRewAssocRetrievedDay2SimError
500,0.84375,0.75,0.875,0.875,0.03125,0.125,0.2,0.5,0.2,0.25,0,0.25,0.125,0.125,0.03125,0.0625,0,0.0625,2.11290322580645,2.609375,0.8125,0.53125,0.96875,1,0.078125,0.255813953488372,0.116279069767442,0.365079365079365,0.333333333333333,0.348837209302326,0.27906976744186,0.396825396825397,0.444444444444444,0.0930232558139535,0.162790697674419,0.0317460317460317,0.111111111111111,0.148148148148148,0.259259259259259,0.105263157894737,0.368421052631579,0.0740740740740741,0.0740740740740741,0.0526315789473684,0.157894736842105,0.0740740740740741,0.185185185185185,0.0526315789473684,0.210526315789474,0.255813953488372,0.116279069767442,0.0952380952380952,0.0634920634920635,0.0465116279069767,0.116279069767442,0.0158730158730159,0.0634920634920635,0.0465116279069767,0.0465116279069767,0.0158730158730159,0.0476190476190476
501,0.5625,0.46875,0.8125,0.8125,0.25,0.34375,0.571428571428571,0.647058823529412,0.214285714285714,0.470588235294118,0.357142857142857,0.176470588235294,0.1875,0.1875,0.09375,0.25,0.15625,0.09375,1.72727272727273,1.19642857142857,0.125,0.125,0.5,0.40625,0.015625,0.125,0.125,0.275862068965517,0.0689655172413793,0.5,0.5,0.448275862068966,0.310344827586207,0.375,0.375,0.172413793103448,0.241379310344828,0.5,0.5,0.263157894736842,0.368421052631579,0.333333333333333,0.166666666666667,0.157894736842105,0.210526315789474,0.166666666666667,0.333333333333333,0.105263157894737,0.157894736842105,0,0,0.103448275862069,0.137931034482759,0.125,0.25,0.0689655172413793,0.103448275862069,0.25,0.125,0.103448275862069,0.137931034482759
502,0.25,0.3125,0.65625,0.65625,0.40625,0.34375,0.541666666666667,0.5,0.25,0.0454545454545455,0.291666666666667,0.454545454545455,0.34375,0.34375,0.1875,0.03125,0.21875,0.3125,1.97826086956522,2.65909090909091,0.375,0.53125,0.65625,0.78125,0.1796875,0.137931034482759,0.103448275862069,0.0869565217391304,0.173913043478261,0.275862068965517,0.448275862068966,0.326086956521739,0.41304347826087,0.137931034482759,0.344827586206897,0.239130434782609,0.239130434782609,0.181818181818182,0.454545454545455,0.323529411764706,0.323529411764706,0.0909090909090909,0.136363636363636,0.176470588235294,0.147058823529412,0.0909090909090909,0.318181818181818,0.147058823529412,0.176470588235294,0.137931034482759,0.137931034482759,0.130434782608696,0.130434782608696,0.0689655172413793,0.241379310344828,0.108695652173913,0.130434782608696,0.0689655172413793,0.103448275862069,0.130434782608696,0.108695652173913
503,0.90625,0.8125,0.90625,0.90625,0,0.09375,0,0.5,0,0.333333333333333,0,0.166666666666667,0.09375,0.09375,0,0.0625,0,0.03125,1.859375,1.46875,0.46875,0.53125,0.90625,0.9375,0.03125,0.3125,0.34375,0.372881355932203,0.406779661016949,0.4375,0.4375,0.440677966101695,0.457627118644068,0.125,0.09375,0.0677966101694915,0.0508474576271186,0.363636363636364,0.272727272727273,0.307692307692308,0.230769230769231,0,0.181818181818182,0.307692307692308,0.230769230769231,0.363636363636364,0.0909090909090909,0,0,0.03125,0.09375,0.0508474576271186,0.0508474576271186,0.125,0.03125,0,0,0,0.0625,0.0677966101694915,0.0508474576271186
504,0.71875,0.5625,0.90625,1,0.1875,0.4375,0.666666666666667,1,0.222222222222222,0.285714285714286,0.444444444444444,0.714285714285714,0.09375,0,0.0625,0.125,0.125,0.3125,2.35483870967742,3.36065573770492,0.1875,0.09375,0.84375,0.59375,0.0078125,0.333333333333333,0,0.326086956521739,0.239130434782609,0.555555555555556,0.222222222222222,0.478260869565217,0.369565217391304,0.222222222222222,0.222222222222222,0.152173913043478,0.130434782608696,0.333333333333333,0.333333333333333,0.35,0.3,0.166666666666667,0.166666666666667,0.25,0.1,0.166666666666667,0.166666666666667,0.1,0.2,0.111111111111111,0.111111111111111,0.108695652173913,0.0434782608695652,0.111111111111111,0.111111111111111,0.0434782608695652,0.0869565217391304,0.111111111111111,0.111111111111111,0.108695652173913,0.0434782608695652
508,0.9375,0.6875,0.96875,0.78125,0.03125,0.09375,0.5,0.3,0.5,0.1,0,0.2,0.03125,0.21875,0.03125,0.03125,0,0.0625,1.15625,1.31746031746032,0.4375,0.5625,0.90625,0.9375,0.0078125,0.3125,0.4375,0.423728813559322,0.338983050847458,0.34375,0.53125,0.457627118644068,0.389830508474576,0.03125,0.09375,0.0338983050847458,0.0508474576271186,0.125,0.375,0.142857142857143,0.214285714285714,0.125,0.125,0.142857142857143,0.0714285714285714,0,0.25,0,0.142857142857143,0.09375,0.03125,0.0338983050847458,0.11864406779661,0,0.0625,0,0.0338983050847458,0.03125,0.03125,0.0338983050847458,0.0169491525423729
509,0.34375,0.5,0.59375,0.84375,0.25,0.34375,0.380952380952381,0.6875,0.0476190476190476,0.3125,0.333333333333333,0.375,0.40625,0.15625,0.03125,0.15625,0.21875,0.1875,1.51063829787234,1.15217391304348,0.28125,0.125,0.59375,0.625,0.0234375,0.307692307692308,0.0769230769230769,0.0769230769230769,0.205128205128205,0.615384615384615,0.230769230769231,0.358974358974359,0.461538461538462,0.307692307692308,0.153846153846154,0.282051282051282,0.256410256410256,0.5,0.25,0.392857142857143,0.357142857142857,0,0,0.0714285714285714,0.142857142857143,0.5,0.25,0.321428571428571,0.214285714285714,0.0769230769230769,0.0769230769230769,0.128205128205128,0.0512820512820513,0.307692307692308,0.153846153846154,0.230769230769231,0.153846153846154,0,0,0.0512820512820513,0.102564102564103
511,0.8125,0.9375,0.96875,0.96875,0.15625,0.03125,0.833333333333333,0.5,0.333333333333333,0.5,0.5,0,0.03125,0.03125,0.0625,0.03125,0.09375,0,2.73333333333333,2.49180327868852,0.8125,0.84375,1,1,0.046875,0.30188679245283,0.452830188679245,0.40625,0.453125,0.358490566037736,0.490566037735849,0.4375,0.484375,0.0566037735849057,0.0377358490566038,0.03125,0.03125,0.230769230769231,0.153846153846154,0.222222222222222,0.222222222222222,0.230769230769231,0.0769230769230769,0.111111111111111,0.111111111111111,0,0.0769230769230769,0.111111111111111,0.111111111111111,0.132075471698113,0.0188679245283019,0.0625,0.015625,0,0.0188679245283019,0.015625,0.015625,0.0566037735849057,0.0188679245283019,0.015625,0.015625
513,0.75,0.65625,0.8125,0.96875,0.0625,0.3125,0.25,0.909090909090909,0.125,0.454545454545455,0.125,0.454545454545455,0.1875,0.03125,0.03125,0.15625,0.03125,0.15625,1.5625,1.359375,0.25,0.5,0.84375,0.8125,0.0078125,0.25,0.166666666666667,0.339622641509434,0.339622641509434,0.25,0.541666666666667,0.433962264150943,0.471698113207547,0,0.375,0.0943396226415094,0.132075471698113,0,0.642857142857143,0.294117647058824,0.411764705882353,0,0.357142857142857,0,0.235294117647059,0,0.285714285714286,0.294117647058824,0.176470588235294,0.0833333333333333,0.125,0.0754716981132075,0.0188679245283019,0,0.166666666666667,0.0943396226415094,0.0566037735849057,0,0.208333333333333,0,0.0754716981132075
515,0.5625,0.1875,0.75,0.6875,0.1875,0.5,0.428571428571429,0.615384615384615,0.142857142857143,0.192307692307692,0.285714285714286,0.423076923076923,0.25,0.3125,0.0625,0.15625,0.125,0.34375,2.28333333333333,2.21052631578947,0.5625,0.4375,0.75,0.78125,0.2109375,0.3125,0.0625,0.285714285714286,0.142857142857143,0.375,0.25,0.36734693877551,0.306122448979592,0.0625,0.1875,0.0816326530612245,0.163265306122449,0.1,0.3,0.142857142857143,0.285714285714286,0.05,0.05,0.142857142857143,0.107142857142857,0.05,0.25,0,0.178571428571429,0.1875,0.1875,0.122448979591837,0.204081632653061,0.03125,0.15625,0,0.102040816326531,0.03125,0.03125,0.0816326530612245,0.0612244897959184
