subid,trialinfo,memory,ERS,RewardType
500,item10R1,1,-0.11789714890065,High
500,item10R2,1,-0.0262592742089093,High
500,item11R1,1,-0.123165718406652,High
500,item11R2,1,-0.0392388299614762,High
500,item12R1,0,0.0407576309198076,High
500,item12R2,1,-0.193905329047967,High
500,item13R1,0,0.0486770861721974,High
500,item13R2,1,-0.26939341402463,High
500,item14R1,0,-0.0543601355196421,High
500,item14R2,0,-0.0154838824894694,High
500,item15R1,0,0.101137242040718,High
500,item15R2,1,-0.115086065849439,High
500,item16R1,1,-0.0390056990269572,High
500,item16R2,1,-0.0174854458704466,High
500,item1R1,0,0.107905362266104,High
500,item1R2,1,-0.0663934058787374,High
500,item2R1,1,-0.0401449265611071,High
500,item2R2,0,0.0395560478060958,High
500,item3R1,1,0.0934543671024848,High
500,item3R2,1,0.100647756218182,High
500,item4R1,1,0.0860389460755782,High
500,item4R2,1,0.033121814384423,High
500,item5R1,1,0.126993067795739,High
500,item5R2,1,-0.0458371273546146,High
500,item6R1,1,-0.0369935173404003,High
500,item6R2,1,0.0666882260961621,High
500,item7R1,1,-0.0366531023090658,High
500,item7R2,1,-0.00860295523422853,High
500,item8R1,0,0.252810253751562,High
500,item8R2,1,0.151545981479203,High
500,item9R1,0,-0.0215423373670815,High
500,item9R2,1,0.0884946004370296,High
500,item10R1,1,-0.0634352134565239,Low
500,item10R2,1,0.0746456923085565,Low
500,item11R1,0,0.206081563005951,Low
500,item11R2,0,-0.061500418839241,Low
500,item12R1,1,-0.138980207155423,Low
500,item12R2,1,0.0450966306513767,Low
500,item13R1,1,-0.022663342791732,Low
500,item13R2,1,0.0145031055061756,Low
500,item14R1,1,-0.18987640558833,Low
500,item14R2,0,0.0288954780305822,Low
500,item15R1,0,0.0414300898173377,Low
500,item15R2,0,0.0507624591686815,Low
500,item16R1,0,0.0257278278566384,Low
500,item16R2,1,-0.0394255650020735,Low
500,item1R1,0,-0.170343061203085,Low
500,item1R2,1,-0.103559195190902,Low
500,item2R1,1,-0.0908341429718399,Low
500,item2R2,0,0.0304774186793548,Low
500,item3R1,1,-0.0927290955266727,Low
500,item3R2,1,0.0402337239719457,Low
500,item4R1,1,0.0128574874842744,Low
500,item4R2,1,-0.169493605140487,Low
500,item5R1,1,-0.0779959781016884,Low
500,item5R2,1,-0.01701732679208,Low
500,item6R1,1,-0.0437616871595342,Low
500,item6R2,0,-0.085975838202924,Low
500,item7R1,1,0.124221641034213,Low
500,item7R2,0,0.0485673058292981,Low
500,item8R1,1,-0.0277140401035474,Low
500,item8R2,1,0.0661232758100949,Low
500,item9R1,1,0.137563866895402,Low
500,item9R2,0,-0.0539717393791219,Low
501,item10R1,1,0.0585810968546841,High
501,item10R2,0,-0.207045689083381,High
501,item11R1,0,0.285420768415843,High
501,item11R2,1,0.0827813085522303,High
501,item12R1,1,0.156788549025405,High
501,item12R2,1,0.0915524063008186,High
501,item13R1,0,0.0252066684769229,High
501,item13R2,0,-0.0409917697399045,High
501,item14R1,0,0.0593698341498651,High
501,item14R2,0,-0.0797701060929561,High
501,item15R1,1,-0.127662805082029,High
501,item15R2,0,0.0719029447968544,High
501,item16R1,0,-0.0483374431799542,High
501,item16R2,0,-0.0494970717890129,High
501,item1R1,0,-0.184815302348553,High
501,item1R2,0,-0.118928155200424,High
501,item2R1,0,0.00595536808339513,High
501,item2R2,0,0.149385835568236,High
501,item3R1,0,-0.176667325395218,High
501,item3R2,0,0.142879662393453,High
501,item4R1,0,0.0754584083465721,High
501,item4R2,0,0.024788222549813,High
501,item5R1,0,0.0790545889091704,High
501,item5R2,0,0.0685502553077775,High
501,item6R1,1,0.07722319011698,High
501,item6R2,1,-0.19107724447322,High
501,item7R1,0,0.0423063240073255,High
501,item7R2,0,0.132531249068365,High
501,item8R1,0,0.042472252611355,High
501,item8R2,0,0.109152532803074,High
501,item9R1,1,0.0689591392431638,High
501,item9R2,0,0.0434482254675808,High
501,item10R1,0,0.0913697828580083,Low
501,item10R2,0,-0.0890354511449528,Low
501,item11R1,0,-0.081186435029126,Low
501,item11R2,0,0.23717340317307,Low
501,item12R1,0,0.0599530018575271,Low
501,item12R2,0,0.146899400550264,Low
501,item13R1,0,0.157212351042127,Low
501,item13R2,0,0.140114224078817,Low
501,item14R1,0,0.0257985810436114,Low
501,item14R2,0,0.0203144235669068,Low
501,item15R1,0,0.0201273485311449,Low
501,item15R2,0,-0.032173928116558,Low
501,item16R1,1,0.382983837098274,Low
501,item16R2,0,-0.154814863300064,Low
501,item1R1,0,0.0761267598874788,Low
501,item1R2,0,-0.0677595161981208,Low
501,item2R1,0,0.155667336356593,Low
501,item2R2,0,0.0713974723855164,Low
501,item3R1,0,0.172538883701775,Low
501,item3R2,0,-0.272826407530591,Low
501,item4R1,0,0.219385488217608,Low
501,item4R2,1,-0.143968122062765,Low
501,item5R1,0,0.00958500674212257,Low
501,item5R2,0,-0.205595675269781,Low
501,item6R1,0,0.290979641121039,Low
501,item6R2,0,0.0807797777765976,Low
501,item7R1,0,0.0495516042158865,Low
501,item7R2,0,0.201963880592056,Low
501,item8R1,0,-0.0625453335671542,Low
501,item8R2,0,-0.12177931518608,Low
501,item9R1,0,-0.0305235122719416,Low
501,item9R2,0,0.247390064160053,Low
502,item10R1,0,-0.144085388397873,High
502,item10R2,0,-0.0823503090012823,High
502,item11R1,0,-0.0124208541247099,High
502,item11R2,1,0.0352656676177518,High
502,item12R1,0,0.00707763088039891,High
502,item12R2,0,0.139210304704087,High
502,item13R1,0,-0.0199326627434402,High
502,item13R2,0,-0.173355441852901,High
502,item14R1,0,0.0500296197201347,High
502,item14R2,0,0.0596965677179532,High
502,item15R1,0,0.000795698255831031,High
502,item15R2,0,-0.12713836924832,High
502,item16R1,1,0.0143704340171466,High
502,item16R2,1,0.0463246705283979,High
502,item1R1,0,-0.0100480466661955,High
502,item1R2,1,0.0343717477679694,High
502,item2R1,0,-0.172252517451227,High
502,item2R2,0,0.07480532331531,High
502,item3R1,0,-0.116751437515003,High
502,item3R2,0,0.0594839889446012,High
502,item4R1,0,-0.13084222330066,High
502,item4R2,0,0.0255028721474865,High
502,item5R1,0,0.0764845677352624,High
502,item5R2,0,0.0953956161095245,High
502,item6R1,0,-0.156256015503809,High
502,item6R2,0,-0.0506931384259569,High
502,item7R1,0,-0.0378428337900318,High
502,item7R2,0,0.215309077145375,High
502,item8R1,0,-0.0651081734244292,High
502,item8R2,0,-0.0793711305683417,High
502,item9R1,0,0.225299599158412,High
502,item9R2,0,0.0636843582748079,High
502,item10R1,0,0.153257580628866,Low
502,item10R2,0,0.173606312312649,Low
502,item11R1,0,-0.00498894183752545,Low
502,item11R2,1,0.144059733565763,Low
502,item12R1,0,-0.120055365913393,Low
502,item12R2,1,0.129764067272076,Low
502,item13R1,0,-0.0770763143041979,Low
502,item13R2,0,-0.0566482241281954,Low
502,item14R1,0,0.103548676397106,Low
502,item14R2,0,-0.0723836680510525,Low
502,item15R1,0,-0.127693169469231,Low
502,item15R2,1,-0.0149954396959934,Low
502,item16R1,0,-0.0481005782187441,Low
502,item16R2,1,0.0778788685947927,Low
502,item1R1,0,-0.037946267374551,Low
502,item1R2,0,-0.0353845802913494,Low
502,item2R1,0,0.069192932374589,Low
502,item2R2,1,0.0042345525805658,Low
502,item3R1,0,-0.227547155837264,Low
502,item3R2,1,0.0264694597138009,Low
502,item4R1,0,0.092138386783218,Low
502,item4R2,0,0.0501854999734748,Low
502,item5R1,0,-0.113812485132763,Low
502,item5R2,0,0.0582813973465909,Low
502,item6R1,0,0.100239434655672,Low
502,item6R2,0,0.0961144169225556,Low
502,item7R1,0,-0.207554375211873,Low
502,item7R2,1,0.30501316481414,Low
502,item8R1,0,0.124017807463332,Low
502,item8R2,0,-0.107472527448642,Low
502,item9R1,0,-0.115397804104723,Low
502,item9R2,1,-0.0483598604552211,Low
503,item10R1,1,0.143901354157171,High
503,item10R2,1,0.0196793618568972,High
503,item11R1,1,0.189983894941765,High
503,item11R2,1,-0.00409551000490103,High
503,item12R1,1,-0.111761434407404,High
503,item12R2,1,-0.0879742093077213,High
503,item13R1,1,-0.129453727623139,High
