subid,highrewardERS,lowrewardERS,highrewardencsim,lowrewardencsim,highrewardretsim,lowrewardretsim
500,0.00219937709980661,-0.0156902905173538,-0.00771299090916596,0.0164691258702396,0.0183585986758312,0.0179902910060984
501,0.0209054974582572,0.0498469909149794,0.00191623237829868,0.0174078313071053,0.0128823780061861,0.0464412310110015
502,-0.00485439993667907,0.00914329793513978,0.00154121976568068,-0.00310362922202853,-0.0157466510736738,0.0372302147186281
503,0.00770478873749876,-0.0219360602113986,0.0123137224494833,-0.0188312350382859,0.020193501233023,0.0138799623827207
504,0.0265815753125502,0.0347506897764375,0.0224806270530952,-0.00616725434484497,0.00338934941894795,0.00498362858805279
508,-0.0205603578403417,-0.0466280468993234,0.0167764814309947,-0.01431664643346,0.013349976353476,0.0261689342877996
509,-0.00481089871812594,0.0117927502727878,-0.00385435302976286,0.000813339033215371,0.00527786728987874,0.00697152592930923
511,-0.0110547996072225,-0.0323857545324485,0.0340473051030777,0.0572648343820836,0.00718914623251985,0.00455315696466664
513,0.0213874423952859,0.0502027085951411,NA,NA,NA,NA
515,0.00228164721397332,-0.0120759658738241,0.00310069210171936,0.0175803152939621,0.00245507704392013,0.00839444619814263
517,-0.0189796557272568,0.0160866184549699,0.0116684898991919,-0.0115531288639754,-0.00776268992082905,-0.00832595498461952
518,0.000120480766626325,0.0077262399744215,0.00136635170013336,-0.0140810042548175,0.0369353103739868,0.0470008697690748
519,0.0221902731391404,-0.0138871951182171,0.0187676084019546,-0.00984757343111708,0.0427619259694918,0.0725678442547286
521,0.0152056533273666,0.00942592636674041,0.0355890117803466,0.0404573228350532,0.0337621880617024,0.000134453861568315
523,-0.0148193713105869,0.112693510898784,NA,NA,NA,NA
524,-0.00840649512170297,-0.0120688704661256,0.0163295386185818,0.00379709936665712,-0.0050910865839684,-0.0115470195788364
528,0.0521672930108833,0.0269961069255933,NA,NA,NA,NA
530,-0.0333986789926159,-0.0366351488994954,0.0155243241798585,-0.00088859304891322,0.0480785808875613,0.0324747212660965
531,0.0478359526341852,0.00350721287924866,0.0428637581112273,0.0132655585567196,-0.00266156551193258,0.00310163649514879
