subid,highrewardERS,lowrewardERS,highrewardencsim,lowrewardencsim,highrewardretsim,lowrewardretsim
500,0.241079323886477,0.228881096617606,0.390144338026366,0.330288459021905,0.169745106443613,0.192744729573691
501,0.0530695254169458,0.0779843855698135,0.0875710762725932,0.104413264216852,0.0984497114515245,0.125272486451827
502,0.145195500100929,0.133582244171092,0.127062947928579,0.141931226858982,0.164721476604189,0.162896651211453
503,0.112875736691351,0.118086969770379,0.186538824208317,0.179837267862889,0.115752324314317,0.100135995219988
504,0.173143707679873,0.164862769785943,0.197062386104145,0.204180217305311,0.149912277195975,0.157763007755375
508,0.0767435285991445,0.0697648127779388,0.110391015801018,0.123306387155164,0.0515026756077048,0.0616001597907598
509,0.0602282760725697,0.071831797654524,0.052249940566551,0.0644316738804168,0.0859223223503981,0.0793339544091926
511,0.0524626439630715,0.0865972511847178,0.119237534531962,0.157772063128369,0.0516977240505009,0.0744237853500508
513,0.159226639350007,0.185370377209243,NA,NA,NA,NA
515,0.0790056109801212,0.0851632924490004,0.165041439386038,0.141340277004251,0.0477761280606126,0.0638429055180603
517,0.186080625657176,0.153548089212259,0.17111713226609,0.166234171967358,0.213542150551102,0.146005605725112
518,0.0729882902150086,0.0394974583401014,0.114818713449141,0.101629847531281,0.0716108889802447,0.0362024737621364
519,0.123112196692325,0.116228954647981,0.230610707884352,0.212295685787268,0.139177425904207,0.130466747270216
521,0.160184084580311,0.166780465424175,0.255621904843711,0.212227991122594,0.136146821197517,0.145414305978596
523,0.180503789268688,0.136663818244725,NA,NA,NA,NA
524,0.0476269697154444,0.0832610516407866,0.123224669467361,0.17475612765404,0.0821610604662742,0.086157218819104
528,0.119127282991274,0.0690657939105536,NA,NA,NA,NA
530,0.13303990114838,0.130330087304407,0.179256377614986,0.173004897167548,0.130638462276415,0.11342531050533
531,0.242624655664255,0.255718107727653,0.388402810129972,0.368115641036022,0.196701545665366,0.226594007480694
532,0.291523311882377,0.327563336204513,0.536877284126046,0.520971117757444,0.193997900213122,0.232984139242269
536,0.181784699493826,0.166202006551088,0.339412497123977,0.312227236468321,0.223175108402366,0.244340733539095
537,0.089457285216039,0.0701616322710666,0.107043988596907,0.0694445528014487,0.0960400613224031,0.10735559816387
540,0.0246438421122659,0.0513096496125864,0.041373028917051,0.0495226928600198,0.026520732708312,0.0484284526160395
